year,stock
2000,GE
2000,MSFT
2000,XOM
2000,C
2000,PFE
2000,WMT
2000,AIG
2000,INTC
2000,IBM
2000,JNJ
2001,GE
2001,MSFT
2001,XOM
2001,WMT
2001,C
2001,PFE
2001,AIG
2001,IBM
2001,JNJ
2001,INTC
2002,MSFT
2002,GE
2002,XOM
2002,WMT
2002,PFE
2002,C
2002,AIG
2002,JNJ
2002,IBM
2002,MRK
