year,stock
2014,AAPL
2014,GOOGL
2014,MSFT
2014,XOM
2014,BRK-A
2014,JNJ
2014,GE
2014,WFC
2014,META
2014,AMZN
2015,AAPL
2015,GOOGL
2015,MSFT
2015,BRK-A
2015,XOM
2015,AMZN
2015,META
2015,GE
2015,JNJ
2015,WFC
2016,AAPL
2016,GOOGL
2016,MSFT
2016,BRK-A
2016,AMZN
2016,META
2016,XOM
2016,JNJ
2016,JPM
2016,WFC
2017,AAPL
2017,GOOGL
2017,MSFT
2017,AMZN
2017,BRK-A
2017,META
2017,JNJ
2017,JPM
2017,XOM
2017,WMT
