year,stock
2009,XOM
2009,MSFT
2009,WMT
2009,AAPL
2009,GOOGL
2009,IBM
2009,PG
2009,JPM
2009,JNJ
2009,T
2010,XOM
2010,AAPL
2010,MSFT
2010,BRK-A
2010,GE
2010,WMT
2010,GOOGL
2010,CVX
2010,IBM
2010,PG
2011,AAPL
2011,XOM
2011,MSFT
2011,IBM
2011,CVX
2011,GE
2011,PG
2011,GOOGL
2011,WMT
2011,BRK-A
2012,AAPL
2012,XOM
2012,GE
2012,MSFT
2012,CVX
2012,JNJ
2012,PG
2012,IBM
2012,T
2012,PFE
2013,AAPL
2013,XOM
2013,GOOGL
2013,GE
2013,JNJ
2013,MSFT
2013,PG
2013,CVX
2013,WFC
2013,JPM

