year,stock
2018,MSFT
2018,AAPL
2018,AMZN
2018,GOOGL
2018,BRK-A
2018,META
2018,JNJ
2018,JPM
2018,V
2018,XOM
2019,AAPL
2019,MSFT
2019,AMZN
2019,GOOGL
2019,META
2019,BRK-A
2019,V
2019,JPM
2019,JNJ
2019,WMT
2020,AAPL
2020,MSFT
2020,AMZN
2020,GOOGL
2020,META
2020,BRK-A
2020,V
2020,JNJ
2020,WMT
2020,JPM
